SellerID,SellerName,SellerTier,Region,FulfillmentType
S0001,Ever 1,Silver,Midwest,FBA
S0002,Delta 2,Gold,West,FBA
S0003,Harbor 3,Bronze,Southwest,FBM
S0004,Fusion 4,Silver,Northeast,FBM
S0005,Fusion 5,Bronze,Northeast,FBA
S0006,Harbor 6,Silver,West,FBM
S0007,Fusion 7,Bronze,Southwest,FBM
S0008,Apex 8,Silver,Southeast,Hybrid
S0009,Ever 9,Bronze,Southeast,FBA
S0010,Fusion 10,Silver,Southeast,FBM
S0011,Ion 11,Silver,West,FBM
S0012,Cedar 12,Bronze,West,FBM
S0013,Delta 13,Silver,Northeast,Hybrid
S0014,Cedar 14,Bronze,Northeast,FBA
S0015,Harbor 15,Silver,West,FBA
S0016,Ion 16,Bronze,Northeast,Hybrid
S0017,Cedar 17,Bronze,Southwest,FBA
S0018,Ever 18,Bronze,Southeast,FBA
S0019,Cedar 19,Silver,Southwest,FBM
S0020,Bright 20,Silver,Southeast,FBM
S0021,Bright 21,Bronze,Southeast,FBA
S0022,Apex 22,Bronze,Southeast,FBM
S0023,Cedar 23,Silver,Southwest,FBA
S0024,Apex 24,Bronze,Southeast,FBM
S0025,Ever 25,Bronze,Southwest,FBM
S0026,Cedar 26,Bronze,Southeast,FBA
S0027,Ever 27,Bronze,Northeast,FBA
S0028,Fusion 28,Bronze,Southwest,FBA
S0029,Harbor 29,Silver,Midwest,FBM
S0030,Bright 30,Bronze,Southeast,Hybrid
S0031,Ever 31,Bronze,Midwest,Hybrid
S0032,Cedar 32,Bronze,Northeast,FBA
S0033,Harbor 33,Bronze,West,FBM
S0034,Bright 34,Bronze,Southeast,FBA
S0035,Ever 35,Bronze,Midwest,FBA
S0036,Ever 36,Bronze,Midwest,Hybrid
S0037,Cedar 37,Bronze,Southeast,FBA
S0038,Harbor 38,Bronze,West,FBM
S0039,Fusion 39,Bronze,Southeast,FBA
S0040,Bright 40,Bronze,Midwest,Hybrid
S0041,Apex 41,Bronze,Southeast,FBM
S0042,Delta 42,Silver,Midwest,FBA
S0043,Apex 43,Bronze,Midwest,Hybrid
S0044,Bright 44,Silver,Northeast,FBM
S0045,Fusion 45,Bronze,Northeast,FBA
S0046,Fusion 46,Bronze,Southeast,FBA
S0047,Bright 47,Bronze,Midwest,FBM
S0048,Delta 48,Silver,Northeast,FBA
S0049,Delta 49,Silver,Southwest,FBA
S0050,Fusion 50,Bronze,Southeast,FBA
S0051,Apex 51,Bronze,Midwest,Hybrid
S0052,Harbor 52,Silver,Southwest,FBA
S0053,Bright 53,Bronze,Southwest,FBA
S0054,Ever 54,Bronze,Northeast,FBM
S0055,Ever 55,Silver,Northeast,FBM
S0056,Harbor 56,Silver,Northeast,FBA
S0057,Cedar 57,Bronze,Southeast,FBM
S0058,Ever 58,Bronze,Southeast,FBM
S0059,Delta 59,Bronze,West,FBA
S0060,Delta 60,Bronze,Northeast,FBM
S0061,Bright 61,Bronze,Midwest,FBM
S0062,Harbor 62,Bronze,Midwest,FBM
S0063,Ever 63,Bronze,West,Hybrid
S0064,Ion 64,Bronze,Northeast,FBA
S0065,Cedar 65,Bronze,West,FBA
S0066,Delta 66,Bronze,Midwest,FBM
S0067,Ever 67,Bronze,Midwest,FBA
S0068,Harbor 68,Bronze,Southwest,FBM
S0069,Delta 69,Bronze,Northeast,FBM
S0070,Bright 70,Silver,Southeast,FBA
S0071,Delta 71,Bronze,West,FBA
S0072,Delta 72,Bronze,Southwest,FBA
S0073,Ever 73,Bronze,Southwest,FBA
S0074,Apex 74,Bronze,West,Hybrid
S0075,Delta 75,Silver,Northeast,FBA
S0076,Cedar 76,Silver,Northeast,FBA
S0077,Harbor 77,Silver,Southeast,FBA
S0078,Bright 78,Silver,Southeast,FBA
S0079,Bright 79,Bronze,Southeast,FBM
S0080,Ever 80,Bronze,Southwest,FBM
S0081,Ever 81,Bronze,Southwest,FBM
S0082,Harbor 82,Bronze,Southwest,FBA
S0083,Cedar 83,Silver,Northeast,FBA
S0084,Ever 84,Bronze,Southeast,FBA
S0085,Bright 85,Bronze,Midwest,FBA
S0086,Ion 86,Bronze,Southeast,FBA
S0087,Bright 87,Silver,Midwest,Hybrid
S0088,Delta 88,Bronze,Midwest,Hybrid
S0089,Delta 89,Bronze,Northeast,Hybrid
S0090,Bright 90,Bronze,West,FBA
S0091,Fusion 91,Bronze,Southwest,FBA
S0092,Harbor 92,Bronze,Southwest,FBA
S0093,Cedar 93,Bronze,West,FBA
S0094,Ever 94,Bronze,Southwest,FBA
S0095,Delta 95,Bronze,Southeast,FBM
S0096,Ion 96,Silver,Northeast,FBM
S0097,Cedar 97,Bronze,Midwest,FBA
S0098,Fusion 98,Silver,Northeast,FBA
S0099,Ever 99,Bronze,Southeast,FBA
S0100,Ever 100,Bronze,Midwest,FBA
S0101,Apex 101,Silver,Southwest,FBM
S0102,Harbor 102,Bronze,West,FBA
S0103,Bright 103,Bronze,Midwest,FBA
S0104,Bright 104,Bronze,Midwest,FBA
S0105,Apex 105,Bronze,Midwest,Hybrid
S0106,Ion 106,Bronze,West,FBA
S0107,Apex 107,Silver,Northeast,FBA
S0108,Cedar 108,Silver,Midwest,FBA
S0109,Bright 109,Bronze,West,FBA
S0110,Apex 110,Bronze,Northeast,Hybrid
S0111,Ion 111,Bronze,Northeast,FBA
S0112,Harbor 112,Bronze,Northeast,FBA
S0113,Bright 113,Bronze,Northeast,FBA
S0114,Cedar 114,Bronze,Midwest,FBM
S0115,Apex 115,Silver,Southwest,FBA
S0116,Cedar 116,Bronze,Southwest,FBA
S0117,Ion 117,Bronze,Southeast,FBA
S0118,Cedar 118,Bronze,West,FBA
S0119,Bright 119,Bronze,Northeast,FBM
S0120,Ever 120,Silver,Southeast,FBM
S0121,Bright 121,Bronze,Southeast,Hybrid
S0122,Fusion 122,Bronze,Northeast,FBM
S0123,Harbor 123,Bronze,Southeast,FBA
S0124,Cedar 124,Bronze,Midwest,FBM
S0125,Harbor 125,Bronze,Southwest,FBA
S0126,Ever 126,Bronze,Southeast,FBM
S0127,Ion 127,Bronze,Northeast,FBM
S0128,Fusion 128,Gold,Southwest,Hybrid
S0129,Cedar 129,Bronze,Southwest,FBA
S0130,Ion 130,Bronze,Southeast,FBM
S0131,Bright 131,Silver,Midwest,FBA
S0132,Ion 132,Silver,West,FBM
S0133,Cedar 133,Bronze,Midwest,FBM
S0134,Ion 134,Bronze,West,FBA
S0135,Delta 135,Bronze,West,FBA
S0136,Apex 136,Bronze,Southeast,Hybrid
S0137,Apex 137,Bronze,Northeast,FBA
S0138,Ever 138,Bronze,Southwest,FBA
S0139,Apex 139,Bronze,Northeast,FBA
S0140,Ion 140,Bronze,Southwest,Hybrid
S0141,Delta 141,Silver,West,FBM
S0142,Ever 142,Bronze,Northeast,FBA
S0143,Bright 143,Silver,Southeast,FBM
S0144,Cedar 144,Bronze,Southwest,FBM
S0145,Harbor 145,Bronze,Southeast,FBA
S0146,Ion 146,Bronze,Midwest,FBM
S0147,Delta 147,Silver,Southwest,FBA
S0148,Delta 148,Bronze,Midwest,FBA
S0149,Apex 149,Bronze,West,FBA
S0150,Apex 150,Gold,Southwest,FBM
S0151,Bright 151,Bronze,Southeast,FBM
S0152,Bright 152,Bronze,West,FBA
S0153,Bright 153,Bronze,Southeast,FBA
S0154,Harbor 154,Bronze,Midwest,FBA
S0155,Ion 155,Bronze,Southeast,FBA
S0156,Harbor 156,Bronze,Midwest,FBA
S0157,Fusion 157,Silver,Northeast,FBM
S0158,Ion 158,Bronze,West,FBM
S0159,Delta 159,Bronze,Midwest,FBM
S0160,Bright 160,Bronze,Northeast,FBA
